,address,city,zip,State
2247,823 5TH AVE N ,seattle,98109.0,WA
2256,4505 39TH AVE SW ,seattle,98126.0,WA
2268,7347 35TH AVE NE ,seattle,98115.0,WA
2282,13520 AURORA AVE N ,seattle,98133.0,WA
2295,103 YESLER WAY,seattle,98104.0,WA
2300,1612 N 45TH ST,seattle,98103.0,WA
2307,3756 RAINIER AVE S #A,seattle,98144.0,WA
2315,9400 35TH AVE NE ,seattle,98115.0,WA
2326,102 1ST AVE S,seattle,98104.0,WA
2330,4759 BROOKLYN AVE NE ,seattle,98105.0,WA
2342,5315 BALLARD AVE NW ,seattle,98107.0,WA
2353,999 NW LEARY WAY ,seattle,98107.0,WA
2357,1111 3RD AVE #1,seattle,98101.0,WA
2359,4721 CALIFORNIA AVE SW ,seattle,98116.0,WA
2372,300 5TH AVE #150,seattle,98104.0,WA
2373,3920 STONE WAY N,seattle,98103.0,WA
2375,309 NE 45TH ST ,seattle,98105.0,WA
2388,1530 POST ALY #3A,seattle,98101.0,WA
2389,2123 QUEEN ANNE AVE N ,seattle,98109.0,WA
2392,1316 NE 43RD ST ,seattle,98105.0,WA
2405,3520 SW GENESEE ST ,seattle,98126.0,WA
2417,3200 15TH AVE W ,seattle,98119.0,WA
2421,2576 AURORA AVE N ,seattle,98109.0,WA
2430,4301 INTERLAKE AVE N ,seattle,98103.0,WA
2435,14356 AURORA AVE N ,seattle,98133.0,WA
2448,823 3RD AVE,seattle,98104.0,WA
2460,5605 DELRIDGE WAY SW,seattle,98106.0,WA
2466,1519 PIKE PL,seattle,98101.0,WA
2477,12343 LAKE CITY WAY NE ,seattle,98125.0,WA
2490,516 15TH AVE E ,seattle,98112.0,WA
2503,1511 PIKE PL ,seattle,98101.0,WA
2515,4226 E MADISON ST ,seattle,98112.0,WA
2527,3861 DELRIDGE WAY SW ,seattle,98106.0,WA
2530,2010 WESTERN AVE,seattle,98121.0,WA
2535,1253 THOMAS ST ,seattle,98109.0,WA
2545,4903 RAINIER AVE S ,seattle,98118.0,WA
2548,3501 SW AVALON WAY,seattle,98126.0,WA
2560,2226 1ST AVE ,seattle,98121.0,WA
2566,2963 4TH AVE S ,seattle,98134.0,WA
2568,200 TAYLOR AVE N ,seattle,98109.0,WA
2581,305 HARRISON ST ,seattle,98109.0,WA
2583,305 HARRISON ST,seattle,98109.0,WA
2586,6417 ROOSEVELT WAY NE #106 ,seattle,98115.0,WA
2592,727 E PIKE ST ,seattle,98122.0,WA
2605,401 NE NORTHGATE WAY 1119,seattle,98125.0,WA
2616,808 3RD AVE 190,seattle,98104.0,WA
2629,1601 HARVARD AVE ,seattle,98122.0,WA
2642,4138 UNIVERSITY WAY NE ,seattle,98105.0,WA
2649,325 5TH AVE N,seattle,98109.0,WA
2653,2631 NE UNIVERSITY VILLAGE MALL,seattle,98105.0,WA
2658,2120 W EMERSON PL ,seattle,98199.0,WA
2671,9736 GREENWOOD AVE N ,seattle,98103.0,WA
2677,8549 GREENWOOD AVE N ,seattle,98103.0,WA
2689,7719 N GREENWOOD AVE N ,seattle,98103.0,WA
