address,city,zip,tract
6411 LATONA AVE NE,seattle,98115,36
709 N 35TH ST,seattle,98103,49
4203 SW ADMIRAL WAY,seattle,98116,98
301 2ND AVE EXT S,seattle,98104,92
1170 REPUBLICAN ST #B,seattle,98109,73
9627 15TH AVE SW,seattle,98106,265
8004 GREENWOOD AVE N,seattle,98103,28
501 23RD AVE,seattle,98122,87
808 POST AVE,seattle,98104,81
925 4TH AVE #430,seattle,98104,81
2201 QUEEN ANNE AVE N,seattle,98109,68
1024 S BAILEY ST,seattle,98108,109
3820 S FERDINAND ST,seattle,98118,103
1510 NE 117TH ST STE B,seattle,98125,7
1140 NW MARKET ST,seattle,98107,47
1226 S JACKSON ST,seattle,98144,90
612 2ND AVE,seattle,98104,81
5509 UNIVERSITY WAY NE #C,seattle,98105,44
9828 15TH AVE SW STE B,seattle,98106,265
213 BROADWAY AVE E,seattle,98102,74.02
4142 BROOKLYN AVE NE,seattle,98105,53.01
10231 16TH AVE SW,seattle,98146,266
4918 RAINIER AVE S,seattle,98118,103
4305 1/2 UNIVERSITY WAY NE,seattle,98105,53.01
94 COLUMBIA ST,seattle,98104,81
4411 STONE WAY N,seattle,98103,50
1429 1ST AVE,seattle,98101,81
3416 W MCGRAW ST,seattle,98199,56
6508 ROOSEVELT WAY NE,seattle,98115,26
2695 NE VILLAGE LN,seattle,98105,41
8516 GREENWOOD AVE N,seattle,98103,17.01
4106 BROOKLYN AVE NE,seattle,98105,53.01
10641 16TH AVE SW,seattle,98146,267
1531 MELROSE AVE,seattle,98122,84
9614 14TH AVE SW,seattle,98106,265
107 1ST AVE S,seattle,98104,92
95 PINE ST,seattle,98101,81
4433 S GRAHAM ST,seattle,98118,111.02
4001 GILMAN AVE W,seattle,98199,58.01
456 N 36TH ST,seattle,98103,49
1621 E OLIVE WAY,seattle,98102,74.02
806 12TH AVE,seattle,98122,86
701 5TH AVE,seattle,98104,81
601 2ND AVE,seattle,98104,81
1043 S JACKSON ST #104,seattle,98104,91
2100 24TH AVE S,seattle,98144,95
2260 1ST AVE S,seattle,98134,93
1221 MADISON ST,seattle,98104,75
1919 POST ALY,seattle,98101,80.02
1200 3RD AVE 120,seattle,98101,81
1211 PINE ST,seattle,98101,84
2524 16TH AVE S,seattle,98144,100.02
2301 N 45TH ST,seattle,98103,51
2338 RAINIER AVE S,seattle,98144,95
2255 NE 65TH ST,seattle,98115,43.01
